id,city,state,country,continent,conference,year,footprint
10214,Geneva,,Switzerland,EU,PLDI,13,2486.0138
10214,Geneva,,Switzerland,EU,POPL,13,389.7119
10214,Geneva,,Switzerland,EU,POPL,14,2812.2148
10214,Lausanne,,Switzerland,EU,POPL,16,2282.5215
10214,Lausanne,,Switzerland,EU,POPL,17,230.3779
10214,Renens,,Switzerland,EU,SPLASH,12,2722.028
10214,Lausanne,,Switzerland,EU,SPLASH,16,369.8178
10214,Cambridge,,United Kingdom,EU,SPLASH,17,2216.7074
10215,Cambridge,,United Kingdom,EU,POPL,9,1964.7234
10216,Washington,DC,USA,NA,POPL,12,111.1393
10217,Bloomington,IN,USA,NA,ICFP,13,445.9807
10218,Plymouth Meeting,PA,USA,NA,ICFP,10,81.3189
10219,Toronto,ON,Canada,NA,POPL,14,1151.3838
10220,College Park,MD,USA,NA,SPLASH,9,1210.0177
10221,West Lafayette,IN,USA,NA,POPL,18,941.6556
10222,Ithaca,NY,USA,NA,POPL,18,1095.1481
10223,College Park,MD,USA,NA,PLDI,13,1100.3684
10224,Pune,,India,AS,POPL,18,4123.2361
10225,Karlsruhe,,Germany,EU,SPLASH,16,250.2594
10226,Genova,,Italy,EU,SPLASH,17,2534.246
10227,Aarhus,,Denmark,EU,ICFP,12,87.3019
10228,London,,Denmark,EU,ICFP,12,316.3151
10229,Copenhagen N,,Denmark,EU,ICFP,12,1773.8767
10230,Aarhus C,,Denmark,EU,ICFP,12,87.4314
10231,Aarhus N,,Denmark,EU,POPL,17,321.4492
10232,Boston,MA,USA,NA,ICFP,15,1184.6123
10232,Boston,MA,USA,NA,ICFP,17,1525.2145
10232,Boston,MA,USA,NA,ICFP,18,551.4356
10233,Southampton,,United Kingdom,EU,SPLASH,9,2447.1303
10234,Mountain View,CA,USA,NA,POPL,14,381.8677
10235,Fircrest,WA,USA,NA,PLDI,13,23.9978
10235,Swarthmore,PA,USA,NA,POPL,13,2070.5378
10235,Swarthmore,PA,USA,NA,POPL,14,1116.3257
10236,San Jose,CA,USA,NA,PLDI,9,2410.9469
10237,Chapel Hill,NC,USA,NA,SPLASH,13,421.9544
10238,Austin,TX,USA,NA,SPLASH,17,990.5552
10239,Boulder,CO,USA,NA,SPLASH,12,331.0759
10240,Portland,OR,USA,NA,SPLASH,10,394.0681
10241,Berkeley,CA,USA,NA,PLDI,9,2402.0786
10241,Zurich,,Switzerland,EU,POPL,11,2553.6206
10241,Zûrich,,Switzerland,EU,SPLASH,12,2736.8947
10242,Gothenburg,,Sweden,EU,SPLASH,15,1888.2392
10243,Recife,,Brazil,SA,SPLASH,15,2079.6989
10244,Sophia Antipolis,,France,EU,PLDI,9,480.4798
10245,Paris,,France,EU,ICFP,14,387.2931
10246,Gothenburg,,Sweden,EU,ICFP,14,0.0
10247,Aarhus N,,Denmark,EU,SPLASH,14,2319.5956
10248,Sao Paulo,,Brazil,SA,ICFP,18,2420.4242
10249,Copenhagen,,Denmark,EU,ICFP,12,0.0
10249,Copenhagen,,Denmark,EU,ICFP,14,127.6938
10250,York,,United Kingdom,EU,SPLASH,10,2379.9543
10251,Seattle,WA,USA,NA,PLDI,13,0.0
10252,Kensington NSW,,Australia,OC,PLDI,14,4952.8414
10252,Kensington,NSW,Australia,OC,POPL,18,3541.4359
10253,London,,United Kingdom,EU,POPL,13,474.3793
10254,La Jolla,CA,USA,NA,PLDI,15,489.1197
10254,San Diego,CA,USA,NA,POPL,14,0.0
10254,La Jolla,CA,USA,NA,POPL,16,1108.9698
10255,Moscow,,Russia,EU,SPLASH,9,2709.8052
10256,Trets,,France,EU,ICFP,17,349.7027
10257,Amsterdam,,Netherlands,EU,POPL,13,428.852
10258,Gothenburg,,Sweden,EU,ICFP,12,127.6938
10259,Zürich,,Switzerland,EU,SPLASH,10,2673.0688
10260,Singapore,,Singapore,AS,ICFP,16,1457.5901
10260,Michelsneukirchen,,Germany,EU,ICFP,17,337.318
10261,Pittsburgh,PA,USA,NA,ICFP,14,1888.2392
10261,Pittsburgh,PA,USA,NA,POPL,12,231.242
10261,Pittsburgh,PA,USA,NA,POPL,17,1841.7162
10261,Pittsburgh,PA,USA,NA,POPL,18,1135.1231
10262,Pleasant Hill,CA,USA,NA,POPL,16,1122.2493
10263,Goteborg,,Sweden,EU,ICFP,13,1697.6116
10264,Lugano,,Switzerland,EU,SPLASH,9,2714.7813
10265,Cambridge,MA,USA,NA,PLDI,9,1416.3569
10265,Cambridge,MA,USA,NA,PLDI,13,1176.0711
10265,Walnut,CA,USA,NA,PLDI,14,2382.1964
10265,Scottsdale,AZ,USA,NA,PLDI,15,535.0697
10266,Wellington,,New Zealand,OC,SPLASH,9,3266.7586
10266,Wellington,,New Zealand,OC,SPLASH,10,3267.9563
10266,Calgary,AB,Canada,NA,SPLASH,14,291.9382
10266,London,,United Kingdom,EU,SPLASH,15,1759.6982
10266,London,,United Kingdom,EU,SPLASH,16,199.5098
10266,Wellington,,New Zealand,OC,SPLASH,17,3441.5628
